Agency,Service Description,Vision,FTE,Liz Categories,Liz Skills,Agency Category,Liz Countries,Liz Cities,Projects Won,Total Projects Won,SS Take,Category Specialism,Industry Experience,Briefs Received,Total Briefs Received,Pitch Rating,Agency Score,Female
Quicksand Design Studio,"Quicksand is a leading design research and innovation consultancy in India, recognized globally for our expertise in user-centered innovations for emerging markets.",,50 or more,"Advertising/Brand/Creative,Data/ Insight & Research,Experience & Design","Brand Strategy,Future Trends,Service Design,UX/UI Design","Research & Insight,Strategic Design,UX/UI Design",India,"Delhi,Bangalore,Goa",,0,,,,,0,NaN,NaN,
RANKIN CREATIVE,Culturally relevant and astonishingly beautiful work that creates measurable traction.,,50 or more,"Advertising/Brand/Creative,Media/PR & Events","Advertising,Brand Strategy,Creative Production,Media Strategy/Planning,Digital Performance Marketing","Advertising,Video Production",UK,London,,0,,"ATL Campaigns,BTL Campaigns,Photography,Film.,Animation,Live Production",,Mid-Funnel (DW & B2B),1,NaN,NaN,
Raw.Studio,"strategy-driven, design & development studio focused on UI/UX, Branding, Market Research & Growth.","We’re a team of makers, thinkers and explorers. We design and build digital products because we’re curious people driven by continuous learning and solving hard problems. We gain a huge amount of fulfilment through growing our clients businesses, delighting their customers, and innovating in their industries.",11,Experience & Design,UX/UI Design,UX/UI Design,Australia,Sydney,"Cover Sense ph3 (UX),UX Prototyping,Healthscout UX Prototype (extension)",3,UX design studio specialising in design of new digital products and services with corporates and successful start-ups,"Startups,Scaleups","Tech,Fintech","Cover Sense ph3 (UX),UX Prototyping,Healthscout UX Prototype (extension),""Product Design - Pulse 
""",4,NaN,5.0,
Rebel Angel Strategy,"Communication strategy consultancy,  who ensure your brand's content & channels are working effectively together.",,1-9,,,"Brand Strategy,Social & Content,Digital Marketing",,,,0,,,,,0,NaN,NaN,
Recursive,Design audio and visual experiences,"We are a multi-disciplined desiReal‑world experiences to tell your story and connect you with your audience through audiovisual design, content creation and bespoke software development",5,"Tech & Development,Media/PR & Events","Mobile App Development,Software Development,Web Development,AR/VR,Artificial Intelligence,Experiential Marketing",Spatial & Event Design,UK,"Ashford,Kent",,0,"They create unique AV/IT, content and immersive software solutions","Spatial Design,Audio,Content ,Software,Music Videos,Lighting","Insurance,Retail,Entertainment,Sport",,0,NaN,NaN,
Reed Words,Verbal branding and copy writing ,Making Brands and Businesses Stronger Through Words,14,Advertising/Brand/Creative,"Brand Strategy,Copywriting,Social Media (Strategy/Content/Management),Digital Campaign Development",Campaign Activation,"UK,USA","London,Manchester,New York City","Customer Engagement Triggers,Trigger Based Comms Reed SOW2,Aviva Advisor Prop Messaging,Website copy,V2 Aviva Advisor Prop Messaging ,Climate  Report,Aviva Award Entries",7,The best copywriting experts we've seen ,Copywriting.,"FMCG,Retail,Non-Profit","Customer Engagement Triggers,Website copy,Trigger Based Comms Reed SOW2,Aviva Advisor Prop Messaging,V2 Aviva Advisor Prop Messaging ,""Awards applications x5
"",Climate  Report,Aviva Award Entries,Adivsor Messaging",9,9.0,10.0,
Rehab,A digital innovation agency that generates growth through emerging technology,,20-49,,,"Research & Insight,Strategic Design,UX/UI Design",,,,0,,,,,0,NaN,NaN,
Reimagine Digital,Helping businesses reimagine their future through the power of digital,,10-19,"Tech & Development,Data/ Insight & Research,Customer & Business Strategy","MarTech Implementation,CMS & DXP,MarTech Consulting,Product Strategy,Proposition Design,Service Design,UX/UI Design",Web & Mobile Design,"UK,Spain","London,Barcelona",,0,,"UX & UI,Software Development",,,0,NaN,NaN,
Remesh,Our team can help you better understand your audience regardless of who or where they are.,"The Remesh platform allows you to have a live conversation with your customers at scale, powered by AI.",50+,Data/ Insight & Research,"Segmentation,Qual,Quant,Research Tools",Research & Insight,"USA,Australia",Cleveland,Future app vision,1,Digital research platform with research delivery team that enables qual type methods at quant scale,Quant Platform,"Consulting,FMCG,Automotive",Future app vision,1,NaN,NaN,
Republic of Everyone,"We’re Australia’s leading sustainability, purpose and impact specialists. Our head office is in Sydney, but our clients hail from all over the world – including Europe, the USA, Asia and Australia.",,20-49,"Advertising/Brand/Creative,Customer & Business Strategy,Media/PR & Events,Experience & Design,Employer Brand & Experience","Sustainability Strategy,Advertising,Brand Strategy,Social,Creative Production,Digital Campaign Develoment,Copywriting,Video Production,Social & Influencer Marketing,UX/UI Design,Graphic Design,PR,Corporate Communications,Experiential Marketing,EVP & Employer Branding,Employee Experience,Purpose,Values & Culture,Internal Communications,Change Management","Brand Strategy,Creative & Production,Sustainability Strategy,B Corp",Australia,Sydney,,0,,,,,0,NaN,NaN,
Rival,"Don't challenge the market, change it",,10-19,"Customer & Business Strategy,Advertising/Brand/Creative,Media/PR & Events","UX/UI Design,Customer Strategy,Business Strategy",Brand.,"UK,USA","London,New York City",,0,,"Brand Strategy,GTM Strategy",,,0,NaN,NaN,checked
Rocketer,15+ Years Digital Marketing Innovators,,20-49,,,"Creative & Production,Software Development,Digital Marketing",,,,0,,,,,0,NaN,NaN,
S+Co,"Creating brands, experiences and spaces",We connect brands and experiences – across digital and physical spaces,1-9,"Advertising/Brand/Creative,Experience & Design","Brand Strategy,Creative Production,Spatial Design","Spatial & Event Design,Brand.",UK,Edinburgh,New Starts Academy,1,Pioneers in designing omni-channel brand experiences,"Spatial Design,Brand Design.,Brand Strategy","Retail,Financial Services,Food,Drinks,Technology,Professional Services,Entertainment,Hospitality","New Starts Academy,New gala briefs ,Brand Escape Room Design",3,1.0,10.0,
Salamandra.uk Animation Studios,Offering visual content marketing solutions via animation and design to perfectly engage your target audience,,10-19,"Experience & Design,Tech & Development,Advertising/Brand/Creative","Brand Design,Graphic Design,AR/VR,Creative Production,Digital Campaign Development,Copywriting,Video Production",Video Production,UK,"Eton Berkshire,Dundee",Food & Packaging E2E Proposition Animation,1,,"3D Motion,Animation,Data Visualisation,Copywriting.",,Food & Packaging E2E Proposition Animation,1,10.0,10.0,checked
San Digital,"Remote-working responsive consultancy with top talent, delivering value rapidly",,10-19,"Tech & Development,Experience & Design","Customer Experience Design,UX/UI Design,Mobile App Development,Software Development,Web Development",Web & Mobile Design,UK,,,0,,"Strategic Design,UX & UI,Software Development",,,0,NaN,NaN,
SAND visuals,A stop motion production house,making amazing visual brand stories and sharing them with the world,1-9,"Advertising/Brand/Creative,Experience Design","Creative Production,Graphic Design,Social Media (Strategy/Content/Management)",Video Production,UK,Cheltenham,Video Animation,1,Stop motion animation experts! This precise animation video work is impressive. They've done lots with cool FMCG brands but this can be a very engaging proposition for all sorts of sectors,Animation,"FMCG,Utilities,Real Estate","Video Animation,Expert Videos x5 London",2,9.0,NaN,checked
Screentide,Creative Screen Content With Bite,,1-9,,,Production Services,,,,0,,,,,0,NaN,NaN,
Secret Source Marketing,Marketing Growth Agency,,50 or more,"Media/PR & Events,Advertising/Brand/Creative,Tech & Development,Experience & Design","Brand Strategy,Social Media (Strategy/Content/Management),Digital Campaign Development,SEO & SEM,Digital Performance Marketing,Web development,Graphic Design",SEO & PPC,UK,Market Deeping,Digital Claims ,1,,"Organic Search + Content,Paid Search + Content",,"Shepper B2B Marketing,Digital Claims ",2,1.0,NaN,
Seven Stone Collective,Hello. We are the Total Health creative agency.,We are a total healthcare creative agency,10-19,"Advertising/Brand/Creative,Experience & Design,Tech & Development","Brand Design,Advertising,Proposition Design,Social Media (Strategy/Content/Management),Creative Production,Software Development,Mobile App Development,Events",Specialism,UK,London,,0,"As longs as its healthy, they'll create it",Health & Wellbeing,"Pharma,FMCG,Healthcare,HealthTech",,0,NaN,NaN,
Shines Digital,Shines Digital is a full-funnel digital advertising agency,,10-19,Media/PR & Events,"Digital Performance Marketing,Media Strategy/Planning,Media Buying,SEO & SEM","Marketing Planning,Social & Content,Digital Marketing",Australia,Sydney,,0,,,,"Paid performance media set-up and campaign mgmt,SEO Site Migration and Performance Campaign",2,NaN,NaN,checked
Shoreditch Design Studio,The creative agency for your next big thing,"We create high quality digital design for businesses. UI, UX, branding, illustration, mobile design and more. You talk directly to designers who will turn your expectations into reality at speed.",20-49,"Advertising/Brand/Creative,Experience & Design,Tech & Development","Brand Strategy,Video Production,Brand Design,UX/UI Design,Mobile App Development","Web & Mobile Design,Video Production",UK,London,"Life QtB journey optimisation,Innovation smoke tests,Investor application journey,Tender Template,SHIRO follow on,MyAviva micro-site,Expert Videos x5 London,Front End Web Design ,Private Bank Video and Content,Countrywide broker video,UX 2 month Resourcing,One Aviva Video,SHIRO customer journeys ",13,"The new kids on the block. Young, hungry and one of the fastest growing Design Studios in the UK, and just launched into Australia. They designed Penfold’s pension consolidation app but they also work with big guys too, such as NatWest.","UX & UI,UX Research,Prototypes,Film.,Animation","Automotive,Fitness,Health,Insurance,Fintech,Tech,Retail","Life QtB journey optimisation,DW - Pension Consolidation journey design,Innovation smoke tests,UX/UI Retained Squads,Investor application journey,Video Animation,Tender Template,Pre-retirement App,Expert Videos x5 London,SHIRO follow on,MyAviva micro-site,Retained design team,Financial Wellbeing,Front End Web Design ,Food & Packaging E2E Proposition Animation,Video Content,Private Bank Video and Content,Panthera App Experience Design Vision,Box redesign,Countrywide broker video,Corporate Website Design + Build,UX 2 month Resourcing,One Aviva Video,SHIRO customer journeys ,Project Trident,Product Vision Video",26,8.8,9.6,
Sitback Solutions,Create and inspire exceptional experiences,,20-49,"Customer & Business Strategy,Data/ Insight & Research,Experience & Design,Tech & Development","Software Development,Web Development","Research & Insight,UX/UI Design,Software Development",Australia,Sydney,,0,,,,,0,NaN,NaN,
Sketch & Co,Illustration & Design Studio,"We bring together strategic design and creativity to produce visual stories that will make an impact at your next workshop, event, campaign or program.",1,Advertising/Brand/Creative,Creative Production,Campaign Activation,"Australia,France,UK",Paris,"Visualisation,Experience Design ,Book design and production ",3,Visual storytelling studio for innovation and transformation,"Illustration,Print Design","Tech,Consulting,Financial Services,Health,Telecoms","Visualisation,Experience Design ,Book design and production ,Box redesign",4,NaN,9.0,
SLIK,We push creativity further. Building digital experiences for a new age.,,10-19,"Experience & Design,Advertising/Brand/Creative,Technology & Development,Media/PR & Events","Advertising,Brand Strategy,Social,Creative Production,Digital Campaign Development,Copywriting,Video Prouction,Social & Influencer Marketing,UX/UI Design,Brand Design,Graphic Design,Mobile App Development,Web Development","Creative & Production,UX/UI Design,Social & Content",Australia,Sydney,,0,,,,"""Website design & build
""",1,NaN,NaN,
Smartshore Ability,"We carry out IT projects and realize complex custom applications, apps and Web shops",,47,"Tech & Development,Experience & Design","Mobile App Development,Software Development,Web Development,UX/UI Design",Video Production,"Netherland,India","Utrecht,Voorburg,Panaji,Ludhiana",,0,,"Film.,Animation",,,0,NaN,NaN,
Snackable Media,Content production for brilliant brands,,1-9,"Advertising/Brand/Creative,Production Services","Creative Production,Video Production,Editing,TV Production","Creative & Production,Social & Content","Australia,UK","Sydney,London",,0,,,,,0,NaN,NaN,
Snowmelt,Snowmelt is a strategic partner of thriving organisations,Snowmelt is a strategic partner of thriving organisations,1-9,"Customer & Business Strategy,Experience & Design","Growth & Innovation Strategy,Product Strategy,Experience Strategy,New Venture Strategy,Customer Experience Design,Proposition Design,Service Design","Research & Insight,Proposition Design,Strategic Design",Australia,Sydney,,0,"Small team of systemic and service designers working with start ups, corporates and government","Op Model,Proposition Design,Service Design,Digital Strategy","HealthTech,Law,FS,Consumer Goods,NGO,Non-Profit,Disability Services,Professional Services,Engineering","""Contracting experience design & UX think tank

""",1,NaN,NaN,
Solace Digital,On-demand UI/UX to accelerate your product growth,,10-19,"Tech & Development,Advertising/Brand/Creative","Software Development,Web Development,Brand Design","Research & Insight,UX/UI Design,Software Development",UK,London,,0,,,,,0,NaN,NaN,
Solution17,A family of specialists building awesome digital experiences.,Making IT Simple,10-19,"Tech & Development,Experience & Design,Advertising/Brand/Creative,Media/PR & Events","Mobile App Development,Software Development,Web Development,eCommerce & Marketplacing,Graphic Design,Social Media (Strategy/Content/Management),Digital Campaign Development,SEO & SEM",Web & Mobile Design,UK,"London,Brighton,Manchester,Bristol",,0,,"UX & UI,Software Development",,"Wordpress site fix,UX Improvement",2,NaN,NaN,
SOLVNT,"SOLVNT is a strategy & brand building house based in New York City and Accra, Ghana. We build brands, products & experiences that shift culture and elevate the human experience.",,1-9,"Advertising/Brand/Creative,Media/PR & Events,Tech & Development,Experience & Design","Brand Strategy,Social Media (Strategy/Content/Management),Creative Production","Brand Strategy,Proposition Design,Creative & Production",USA,Brooklyn,,0,,,,,0,NaN,NaN,
Something™,Embedding culture at the heart of brands,,10-19,,,"Research & Insight,Brand Strategy,Creative & Production",,,,0,,,,,0,NaN,NaN,
Sparksfly,Propsition and Venture Design,,3,"Customer & Business Strategy,Experience & Design","Customer Strategy,Customer Experience Design,Proposition Design",Innovation & Strategy,UK,London,,0,,Proposition Design,,Sustainable Home Insurance,1,NaN,NaN,checked
Spin Brands,Voted UK's #1 Social Agency,,20-49,"Advertising/Brand/Creative,Media/PR & Events","Digital Performance Marketing,Brand Strategy,Social Media (Strategy/Content/Management),Digital Campaign Development,Copywriting",Social Media,UK,London,,0,,"Social Strategy,Organic Search + Content,Paid Search + Content",,Social Media Veezu,1,NaN,NaN,
Stakk,A decade of creating next-gen mobile apps,,20-49,Tech & Development,Mobile App Development,Web & Mobile Design,UK,London,,0,,"UX & UI,Strategic Design,Software Development",,,0,NaN,NaN,
STCK Strategic Design,We are a strategic design agency that helps clients enable their strategies by focsuing on the customer and employee expereince,,1-9,"Customer & Business Strategy,Experience & Design,Employer Marketing & Experience","Growth & Innovation Strategy,Product Strategy,Experience Strategy,New Venture Strategy,Customer Experience Design,Proposition Design,Service Design,Employee Experience","Research & Insight,Proposition Design,Strategic Design",Australia,"Sydney,Melbourne",,0,,,,,0,NaN,NaN,
Stride,Graphic Design & Marketing Agency,Getting Maximum From Your Marketing Budget,3,"Advertising/Brand/Creative,Tech & Development,Experience & Design","Graphic Design,Web Development,Social Media (Strategy/Content/Management),Digital Campaign Development,Copywriting",Campaign Activation,UK,Belfast,,0,POS Specialists focused on maximising ROI,"Graphic Design.,Copywriting.,POS,Print","FMCG,Technology,Retail","Sales Playbook,Book design and production ",2,NaN,NaN,checked
STUDIO BLUP,BLUP is a creative agency that connects brand to the new culture.,,10-19,"Advertising/Brand/Creative,Media/PR & Events,Tech & Development,Data/ Insight & Research","Segmentation,Qual,Quant,Future Trends,Brand Strategy,Social Media (Strategy/Content/Management),Creative Production,Digital Campaign Development,Copywriting,Video Production,Events,Blockchain / Web 3","Research & Insight,Creative & Production,Strategic Design",UK,London,,0,,,,,0,NaN,NaN,
Studio Something,Creative & Entertainment,Make Something People Genuinely Want,,"Advertising/Brand/Creative,Experience & Design,Customer & Business Strategy","Brand Strategy,Creative Production,Digital Campaign Development,Advertising,Brand Design,Video Production,Proposition Design",Advertising,UK,"Leith,London",VOX creative concepts ,1,"Pioneering advertising & films makers. with in-house creative, production and brand capabilities. We think they fall just on the right side of really challenging creative","ATL Campaigns,BTL Campaigns","Financial Services,FMCG,Entertainment,Pensions","VOX creative concepts ,Equity Release campaign,""Retail Brand Positioning
""",3,NaN,NaN,
Studio Yes,Ridiculously good film production,,1-9,Advertising/Brand/Creative,Video Production,Video Production,"UK,USA","London,New York",,0,,"Social & Content,Film.,Animation",,,0,NaN,NaN,checked
Studiomade,"We help brands clarify their purpose, craft their vision, and grow.",,10-19,"Tech & Development,Advertising/Brand/Creative,Experience & Design,Media/PR & Events","Brand Strategy,Creative Production,Copywriting,Mobile App Development,Software Development,Web Development,eCommerce & Marketplacing,CMS & DXP,UX/UI Design,SEO & SEM,Digital Performance Marketing","Brand.,Web & Mobile Design",UK,London,,0,,"Brand Campaigns,Brand Strategy,UX & UI",,Box redesign,1,NaN,NaN,
Study Hall,Creative solutions for bold partners ✨,,1-9,,,"Brand Strategy,Creative & Production,Strategic Design",,,,0,,,,,0,NaN,NaN,
Submerge,"Content Marketing, SEO & PR",,3,"Media/PR & Events,Advertising/Brand/Creative","SEO & SEM,Digital Performance Marketing,Social Media (Strategy/Content/Management),Digital Campaign Development",SEO & PPC,UK,"Old Hatfield,Hertfordshire",,0,,"Organic Search + Content,Paid Search + Content",,,0,NaN,NaN,checked
Synthetic,Digital transformation for smart businesses. Without the bull.,,10-19,Tech & Development,"Mobile App Development,Software Development,Web Development,AR/VR,Artificial Intelligence,Blockchain / Web 3",Web & Mobile Design,UK,London,,0,,"UX & UI,Software Development,Front End Development",,,0,NaN,NaN,
SystemSeed,We help high-impact organizations achieve big ambitions through web technology,,10-19,"Tech & Development,Experience & Design","Mobile App Development,Software Development,Web Development,UX/UI Design",Web & Mobile Design,"USA,Spain","Dover,Barcelona",,0,,"Strategic Design,UX & UI,Software Development",,,0,NaN,NaN,
T-minus,Coaching and disruptive leadership consultancy,,12,"Customer & Business Strategy,Employer Brand & Experience","Learning & Development,Purpose,Values & Culture,Growth & Innovation Strategy",Leadership Development & Coaching,UK,London,,0,,Coaching & Leadership,,Exec Workshop,1,NaN,NaN,
Taxi Studio,"We Create Unforgettable®, iconic, scalable brand expressions that drive results for global businesses.","We Create Unforgettable, iconic, scalable brand expressions that drive results for global businesses.",20-49,"Advertising/Brand/Creative,Experience & Design","Brand Strategy,Creative Production,Brand Design",Brand.,UK,"Bristol,London",,0,These guys bring great brand credibility in FMCG having worked with some of the world's best known brands. Their sweet spot is brand repositioning or rejunvenation (brand strategy) but they do plenty of activation and packaging too,"Packaging,Brand Strategy & Design,Brand Campaigns,Branding,FMCG","FMCG,Insurance,Coffee chains",,0,NaN,NaN,checked
The Bang,UX & UI Studio,To encourage future generations to enjoy managing their finances by designing frictionless and magnetic digital products,4,"Tech & Development,Experience & Design","Brand Design,Blockchain / Web 3,UX/UI Design,Web Development",Web & Mobile Design,UK,London,"UX/UI Retained Squads,OneApp UX/UI Design Extension",2,"Northern Powerhouse, designing award winning digital products.  These are the guys that built Studiospace’s Marketplace","UX & UI,UX Research,Prototypes","Financial Services,Fintech,Health,Pensions,Insurance,FMCG","UX/UI Retained Squads,OneApp UX/UI Design Extension,3 Yr OneApp UX/UI Deal",3,10.0,NaN,
The Builders Arms Ltd,Get big creative agency smarts without the big agency baggage.,,1-9,"Advertising/Brand/Creative,Customer & Business Strategy","Brand Strategy,Creative Production,Digital Campaign Development,Social Media (Strategy/Content/Management)","Advertising,Brand.",UK,London,,0,,"ATL Campaigns,BTL Campaigns,Brand Strategy,Brand Design.",,,0,NaN,NaN,
The Curious Co,Clear insights for growth,,1-9,,,Research & Insight,,,,0,,,,,0,NaN,NaN,
The Distance App Developers,"A top-rated UK app development company, delivering award-winning Android and iOS apps since the first iPhone.",,10-19,"Tech & Development,Experience & Design","Mobile App Development,UX/UI Design",Web & Mobile Design,UK,"London,York",,0,,"Mobile & Web Build,Software Development",,,0,NaN,NaN,
The Kite Factory,We're the free-thinking media agency for brands with big plans.,"Taking brands to new heights using heart, art and science",50 or more,"Media/PR & Events,Advertising/Brand/Creative,Data/ Insight & Research","Media Strategy/Planning,SEO & SEM,Digital Performance Marketing,Social Media (Strategy/Content/Management),Digital Campaign Development,Dashboarding & Measurement",Media Buying,UK,London,,0,"They go the extra mile to understand your world and collaborate to create market-leading strategies, anchored in intelligent data.","Media Buying,Media Planning","Non-Profit,Retail,Health,Healthcare,Sport",,0,NaN,NaN,checked
The Ninety Niners,Brand and CX Consultancy,Unlocking Value By Being Relevant To People,5,"Advertising/Brand/Creative,Experience & Design","Brand Strategy,Brand Design,Customer Strategy,Customer Experience Design,Digital Campaign Development","Brand Strategy,Creative & Production,Social & Content,CRM & Loyalty,Digital Marketing",UK,London,,0,A new breed brand and CX consultancy that unlocks value by being relevant to real people,"BTL Campaigns,Proposition Design","FMCG,Entertainment,Financial Services",,0,NaN,NaN,
The Nursery Research & Planning Ltd ,"Specialists in brand, communications and experience research",,20-49,,,Research & Insight,,,,0,,,,,0,NaN,NaN,
The Onlii,"Leaner, faster and smarter...with no BS",,10-19,"Media/PR & Events,Advertising/Brand/Creative","Social Media (Strategy/Content/Management),Digital Campaign Development,SEO & SEM,Digital Performance Marketing,Social & Influencer Marketing,Shopper Marketing / PoS marketing,Experiential Marketing","Video Production,Advertising",UK,Leeds,,0,,"Film.,Animation,BTL Campaigns",,,0,NaN,NaN,checked
The Park,Award-winning independent experiential agency,,10-19,"Advertising/Brand/Creative,Experience & Design","Experiential Marketing,Brand Strategy,Creative Production,Advertising,Spatial Design",Spatial & Event Design,"UK,Australia","London,Sydney",,0,,"Physical Events,Virtual Events,Experiential Marketing",,"Brand Escape Room Design,Biffa Corporate Event Support ",2,7.0,NaN,checked
The Sandbox Company,Sevice Design & Innovation,Sandbox develops new customer experiences aligned to the organizational capabilities required to deliver.,3,"Customer & Business Strategy,Experience & Design","Growth & Innovation Strategy,Product Strategy,Experience Strategy,New Venture Strategy,Customer Experience Design,Proposition Design,Service Design","Strategic Design,Proposition Design",Australia,Sydney,,0,"Small team of senior, experienced service designers with lots of FS experience",Experience Design,"Government,Banking,Insurance",,0,NaN,NaN,checked
The Space at 9/2,Meaningful Brands & Exhibits,COMBINING INSIGHT & ARTISTIC EXPRESSION,5,Experience & Design,"UX/UI Design,Brand Design,Spatial Design",Campaign Activation,"India,Australia",Kolkata,,0,Very artistic - print and spatial. Focus on consumers in creative/artistic industries,"Print Design,Photography,Copywriting.,Graphic Design.","Fashion,Retail,Jewelry,Art",,0,NaN,NaN,checked
TheDesignThinkers,We sit at the juncture where business strategy meets brand and experience.,,1-9,"Advertising/Brand/Creative,Experience & Design","Brand Strategy,Proposition Design","Brand Strategy,Proposition Design,Strategic Design",Australia,Sydney,,0,,,,,0,NaN,NaN,checked
Three Whiskey,Performance & Search Marketing,,50,"Media/PR & Events,Advertising/Brand/Creative,Experience & Design","Brand Strategy,Social Media (Strategy/Content/Management),Creative Production,Digital Campaign Development,SEO & SEM,Digital Performance Marketing,Copywriting,Video Production,UX/UI Design",SEO & PPC,"UK,USA","London,Dallas",,0,,"Organic Search + Content,Paid Search + Content",,"MoCo marketing,SEO - Legal Services",2,NaN,NaN,
Tinker Taylor,"A specialist video content agency, producing awesome content for all media channels and platforms.",,1-9,Advertising/Brand/Creative,"Video Production,Social Media (Strategy/Content/Management)",Video Production,UK,Birmingham,,0,,"Film.,Photography,Animation",,Food & Packaging E2E Proposition Animation,1,9.0,NaN,checked
Tobias,Human Centered Design,"We use human-centred design to help organisations create strategies, products and services that drive value and positive change.",19,"Customer & Business Strategy,Data/ Insight & Research,Experience & Design","Growth & Innovation Strategy,Product Strategy,Experience Strategy,New Venture Strategy,Qual & Quant,Data Storytelling & Visualisation,Customer Experience Design,Proposition Design,Service Design","Strategic Design,Proposition Design,Research & Insight",Australia,Sydney,Digital Health Solutions,1,"Human-centred design and innovation specialists, with a passion for socially impactful projects (positive purpose). Award-winning strategic design agency who use human-centred design to help organisations create strategies, products and services that drive value and positive change.","Human-centred design,Social Impact","Health,Financial Services,Government,Education,Transport","Digital Health Solutions,Premium meal planning app,""XD team support and capability build
"",""Website design & build
""",4,8.0,NaN,
Ubiquitous,Ubiquitosu helps brands run influencer marketing campaigns at scale.,,20-49,,,"Social & Content,Digital Marketing,Media Buying",,,,0,,,,,0,NaN,NaN,checked
UNIT9,"UNIT9 is a multidisciplinary production company working in different interactive areas: films, games, virtual reality and digital technology.",,50 or more,"Tech & Development,Advertising/Brand/Creative,Media/PR & Events","Video production,Brand Strategy,Social Media (Strategy/Content/Management),Creative Production,Digital Campaign Development,Software Development,Web Development,AR/VR,Experiential Marketing","Video Production,UX/UI Design","UK,USA,Poland","London,Los Angeles,New York,Łódź",,0,,"Gaming.,Experiential Marketing,Virtual Events,Video Production,UX & UI",,,0,NaN,NaN,
UNPITCHD,We've reinvented the way innovation services are delivered to yield superior results,Reiventing the way innovation services are delivered to yield superior results,1-9,"Customer & Business Strategy,Data/ Insight & Research","Customer Strategy,Growth & Innovation Strategy,New Venture Strategy",Innovation & Strategy,UK,London,"MyAviva Engagement,Protection proposition exploration",2,"A network model select the best talent for the best results, it really is that simple",Proposition Design,"Insurance,Automotive,Utilities,Telecoms","""Dementia Proposition
"",MyAviva Engagement,Protection proposition exploration",3,NaN,9.0,checked
VERSA AGENCY,Digital transformation agency powered by conversational AI,"Optimising conversational channels for personalised impact that furthers your brand through the use of chat, Voice, Virtual Assistants, IVR, Websites and Apps.",29,"Tech & Development,Experience & Design,Data/ Insight & Research","Customer Experience Design,Service Design,UX/UI Design,Mobile App Development,Software Development,Web Development,Artificial Intelligence,CMS & DXP","Software Development,Strategic Design",Australia,"Melbourne,Sydney",Adobe website design & planning sprint,1,"A digital transformation agency that spans research, design and build, and has a specialism in conversational AI and voice-interfaces","Conversational AI,Voice","Government,Banking,Entertainment,Medical,Restaurant (fast food),Travel","Adobe website design & planning sprint,Call centre automation,Digital Health Solutions,James Hardie PDF to Microsite Build,""Chat & Chatbot 
""",5,7.0,8.0,checked
Verve,"Experts in culture, communities and smart digital research","Specialist smart agile, approaches to customer understanding. Delivered through intelligent platforms",50 or more,Data/ Insight & Research,"Quant,Qual,Research Tools,Sustainability Strategy,Brand Strategy",Research & Insight,"UK,Romania,USA,Canada,South Africa,Australia","London,Manchester,Brighton,Iasi,Chicago,Toronto,Johannesburg,Sydney",,0,"Leading research agency with teams in UK, US and a new team in Aus. ","Community Panels,Qual & Quant,Quant Platform","Insurance,FMCG,Telecoms,Supermarkets,Utilities,Pharma,FS,Betting,Tech,Health,Travel,Retail",Electrification Qual Research,1,NaN,NaN,
Videomachine Limited,"Small, agile, creative video production and photography",,1-9,Advertising/Brand/Creative,"Video Production,Social Media (Strategy/Content/Management)",Video Production,UK,Southampton,,0,,Film.,,,0,NaN,NaN,
Viewpoint Studios,Advertising and commercial photography and film,,1-9,Advertising/Brand/Creative,"Video Production,Social Media (Strategy/Content/Management),Advertising",Video Production,UK,Bath,"PRIS Video Production,Expert Videos x5 Bristol,Expert object photography",3,,"Film.,Photography",,"PRIS Video Production,Expert object photography,Countrywide broker video",3,NaN,NaN,checked
Warrior Agency,"An agency that cares about ethical business. Offering Green Audits, PR, Social Media, Strategy & more.",Keep on Fighting The Good Fight,3,"Advertising/Brand/Creative,Customer & Business Strategy","Sustainbility Strategy,Brand Strategy,Brand Design","Sustainability Strategy,Public Relations,Social & Content",UK,Bournemouth,,0,"Warrior was started in 2021 with one objective, to enact positive change. This might sound grand, but Lizzie believes that change doesn’t have to be big, it just has to be positive",Sustainability Strategy,Non-Profit,,0,NaN,NaN,checked
Wasamedia,"We help businesses to launch, grow and build meaningful relationships with their audiences.",,10-19,Media/PR & Events,"Social,Social & Influencer Marketing,PR","Brand Strategy,Social & Content,Digital Marketing",Australia,Sydney,,0,,,,,0,NaN,NaN,checked
William Joseph,B-Corp that creates accessible digital products and services,,10-19,"Experience & Design,Advertising/Brand/Creative","Customer Experience Design,Proposition Design,Service Design,UX/UI Design,Brand Design,Graphic Design,Brand Strategy","Innovation & Strategy,B Corp",UK,London,,0,,"New Experience Design,Accessibility",,,0,NaN,NaN,
Wonderful,"We grow businesses at speed and scale. Through uncommon creativity, technical skill and marketing science, we create digital experiences that deliver real results.",,1-9,"Experience & Design,Advertising/Brand/Creative,Media/PR & Events,Tech & Development","UX/UI Design,Mobile App Development,Web Development,CRM Strategy,Data Analytics,Creative Production,Video Production,Copywriting,Social,Media Strategy/Planning,Media Buying,SEO & SEM,Digital Performance Marketing,Graphic Design","Research & Insight,UX/UI Design,Digital Marketing",Australia,Sydney,"""Product Design - Pulse 
"",Content Design - Pulse",2,,,,"Content Design - Pulse,""Product Design - Pulse 
"",Pulse Project - Follow-on Prototype Design",3,NaN,NaN,
